row_uid,order_id,source_batch,source_row,reason_code,raw_payload,quarantined_at
8f395a2334c126397886998c3604cf34e1b8475c,O000083,orders_batch_1,84,CUSTOMER_MISSING,"{""order_id"": ""O000083"", ""order_datetime"": ""2026-02-05 11:37:00"", ""customer_id"": null, ""product_id"": ""P039"", ""quantity"": ""4.0"", ""unit_price"": ""688.83"", ""discount_pct"": ""5"", ""payment_method"": ""Cash"", ""sales_channel"": ""Online"", ""updated_at"": ""2026-02-06 23:59:00"", ""source_batch"": ""1""}",2026-08-18T21:33:35
f5fc6e5470de9770f70df1ccdbade8295c4c8b04,O000089,orders_batch_1,90,QTY_OUT_OF_RANGE,"{""order_id"": ""O000089"", ""order_datetime"": ""2026-03-04 08:25:00"", ""customer_id"": ""C0030"", ""product_id"": ""P035"", ""quantity"": ""-2.0"", ""unit_price"": ""997.99"", ""discount_pct"": ""10"", ""payment_method"": ""Credit Card"", ""sales_channel"": ""Online"", ""updated_at"": ""2026-03-05 23:59:00"", ""source_batch"": ""1""}",2026-08-18T21:33:35
bfaed8b34c151cc772ee3e1c84dcdef6ab0fa874,O000097,orders_batch_1,98,INVALID_DATE,"{""order_id"": ""O000097"", ""order_datetime"": null, ""customer_id"": ""C0110"", ""product_id"": ""P040"", ""quantity"": ""5.0"", ""unit_price"": ""1472.44"", ""discount_pct"": ""0"", ""payment_method"": ""Bank Transfer"", ""sales_channel"": ""Online"", ""updated_at"": ""2026-03-03 23:59:00"", ""source_batch"": ""1""}",2026-08-18T21:33:35
e30cf5715a245109dcab0ebc71378372d18e6acb,O000101,orders_batch_1,102,DISCOUNT_OUT_OF_RANGE,"{""order_id"": ""O000101"", ""order_datetime"": ""2026-02-28 22:40:00"", ""customer_id"": ""C0151"", ""product_id"": ""P029"", ""quantity"": ""3.0"", ""unit_price"": ""450.41"", ""discount_pct"": ""120"", ""payment_method"": ""Credit Card"", ""sales_channel"": ""Store"", ""updated_at"": ""2026-03-01 23:59:00"", ""source_batch"": ""1""}",2026-08-18T21:33:35
52140d7dd42f1b433473641d64493c313622e057,O000107,orders_batch_1,108,PRODUCT_NOT_FOUND,"{""order_id"": ""O000107"", ""order_datetime"": ""2026-03-03 15:13:00"", ""customer_id"": ""C0130"", ""product_id"": ""P999"", ""quantity"": ""1.0"", ""unit_price"": ""766.0"", ""discount_pct"": ""15"", ""payment_method"": ""PromptPay"", ""sales_channel"": ""Store"", ""updated_at"": ""2026-03-04 23:59:00"", ""source_batch"": ""1""}",2026-08-18T21:33:35
3650e07f4de9f8da0b2a2b8eb8570a499a220f59,O000113,orders_batch_1,114,QTY_NOT_NUMERIC,"{""order_id"": ""O000113"", ""order_datetime"": ""2026-01-03 03:35:00"", ""customer_id"": ""C0039"", ""product_id"": ""P011"", ""quantity"": null, ""unit_price"": ""616.6"", ""discount_pct"": ""0"", ""payment_method"": ""PromptPay"", ""sales_channel"": ""Marketplace"", ""updated_at"": ""2026-01-04 23:59:00"", ""source_batch"": ""1""}",2026-08-18T21:33:35
b37230ac00be26eadbb2b216b3fc49d31cdd30cb,O000131,orders_batch_1,132,INVALID_DATE,"{""order_id"": ""O000131"", ""order_datetime"": null, ""customer_id"": ""C0152"", ""product_id"": ""P037"", ""quantity"": ""1.0"", ""unit_price"": ""185.91"", ""discount_pct"": ""5"", ""payment_method"": ""Bank Transfer"", ""sales_channel"": ""Marketplace"", ""updated_at"": ""2026-02-17 23:59:00"", ""source_batch"": ""1""}",2026-08-18T21:33:35
0a636e0333154993ce354b04b8eb60720004465f,O000139,orders_batch_1,140,PRICE_MISSING,"{""order_id"": ""O000139"", ""order_datetime"": ""2026-02-03 21:12:00"", ""customer_id"": ""C0072"", ""product_id"": ""P039"", ""quantity"": ""4.0"", ""unit_price"": null, ""discount_pct"": ""5"", ""payment_method"": ""Cash"", ""sales_channel"": ""Online"", ""updated_at"": ""2026-02-04 23:59:00"", ""source_batch"": ""1""}",2026-08-18T21:33:35
e49f44db0f43ec16f0df0e4cbe6d0a40f942fbd7,O000149,orders_batch_1,150,CUSTOMER_NOT_FOUND,"{""order_id"": ""O000149"", ""order_datetime"": ""2026-01-08 12:33:00"", ""customer_id"": ""C9999"", ""product_id"": ""P039"", ""quantity"": ""4.0"", ""unit_price"": ""688.83"", ""discount_pct"": ""10"", ""payment_method"": ""PromptPay"", ""sales_channel"": ""Marketplace"", ""updated_at"": ""2026-01-09 23:59:00"", ""source_batch"": ""1""}",2026-08-18T21:33:35
4435cde91e27385d9c9db79f8f30bad3f7f76dea,O000166,orders_batch_1,167,CUSTOMER_MISSING,"{""order_id"": ""O000166"", ""order_datetime"": ""2026-01-18 04:01:00"", ""customer_id"": null, ""product_id"": ""P027"", ""quantity"": ""4.0"", ""unit_price"": ""817.79"", ""discount_pct"": ""10"", ""payment_method"": ""PromptPay"", ""sales_channel"": ""Online"", ""updated_at"": ""2026-01-19 23:59:00"", ""source_batch"": ""1""}",2026-08-18T21:33:35
070404d4b9c6d61b5bf195311d2316849b0f97b7,O000178,orders_batch_1,179,QTY_OUT_OF_RANGE,"{""order_id"": ""O000178"", ""order_datetime"": ""2026-02-16 01:47:00"", ""customer_id"": ""C0061"", ""product_id"": ""P026"", ""quantity"": ""-2.0"", ""unit_price"": ""1185.43"", ""discount_pct"": ""0"", ""payment_method"": ""PromptPay"", ""sales_channel"": ""Marketplace"", ""updated_at"": ""2026-02-17 23:59:00"", ""source_batch"": ""1""}",2026-08-18T21:33:35
4092832ed1d9a2bb0940c86129963b1156d951b1,O000194,orders_batch_1,195,INVALID_DATE,"{""order_id"": ""O000194"", ""order_datetime"": null, ""customer_id"": ""C0075"", ""product_id"": ""P003"", ""quantity"": ""3.0"", ""unit_price"": ""344.85"", ""discount_pct"": ""10"", ""payment_method"": ""Cash"", ""sales_channel"": ""Online"", ""updated_at"": ""2026-03-20 23:59:00"", ""source_batch"": ""1""}",2026-08-18T21:33:35
4d0555b9677c1ac8ac5a239c7aa5b76b41454775,O000202,orders_batch_1,203,DISCOUNT_OUT_OF_RANGE,"{""order_id"": ""O000202"", ""order_datetime"": ""2026-01-15 10:38:00"", ""customer_id"": ""C0161"", ""product_id"": ""P031"", ""quantity"": ""3.0"", ""unit_price"": ""599.9"", ""discount_pct"": ""120"", ""payment_method"": ""Credit Card"", ""sales_channel"": ""Online"", ""updated_at"": ""2026-01-16 23:59:00"", ""source_batch"": ""1""}",2026-08-18T21:33:35
1a63e9d9e576ec852533bd82312ee95791af1a7a,O000214,orders_batch_1,215,PRODUCT_NOT_FOUND,"{""order_id"": ""O000214"", ""order_datetime"": ""2026-01-04 07:12:00"", ""customer_id"": ""C0043"", ""product_id"": ""P999"", ""quantity"": ""6.0"", ""unit_price"": ""1451.77"", ""discount_pct"": ""0"", ""payment_method"": ""PromptPay"", ""sales_channel"": ""Store"", ""updated_at"": ""2026-01-05 23:59:00"", ""source_batch"": ""1""}",2026-08-18T21:33:35
